features,importance
check channel,0.1324049421406009
thumb,1.2655072948641677
tri,0.04688655810298163
hate,0.02769048668200836
world,0.26255136670313434
day_group_weekday,1.010868516449488
make money,0.3763100271638724
look,0.15663193587053822
peopl,0.1435419985723751
boy,0.005337698983816495
watch,0.5379927517486527
day_group_weekend,0.8763689032044828
shuffl,0.017478888495040017
danc,0.12135150092116499
video,1.2553384660380758
realli,0.14925943466393127
com,1.7508973348927033
right,0.07722375463999585
dream,0.10592136491889086
love,1.2536019531634095
perri,0.23497858861153786
million,0.05456331469544331
listen,0.03274568133568569
heard,0.015564639356582739
remix,0.019342410801999124
vote,0.0975211315902784
hey,0.6578956397908771
guy,0.4836850714037344
plea subscrib,0.3659268282797709
websit,0.37607778031874534
ha,0.14353307495404904
eminem,0.12611721154819722
believ,0.042229062942028314
ref,0.31054983138633147
everyday,0.01832303919205965
real,0.05787768206510654
fuck,0.1277964072940042
subscrib,10.585461271259515
like comment,1.3794365776586082
check extraordinari,0.005817413875480788
facebook,0.5225688156080474
visit,0.33028744645028646
view,1.8447153061479864
check new,0.15462145077072253
everi,0.09055411756813092
moneygq,0.0
chanc,0.10944198721257015
live,0.01732591712515798
share,1.1129450165242465
roar,0.0223048934842042
whi,0.3705491679326331
support,0.11436684109545875
zonepa com,0.0
think,0.12974229537979945
mean,0.10566277796253218
rock,0.04946748734407308
don,0.04301782383434415
hope,0.006544550379794972
today,0.05034805753304338
just,0.45740017401257455
billion,0.4090299043340641
type,0.2058988835475206
want,0.15008456275623425
youtub,3.4438267452348654
good,0.3314534561180848
hey guy,0.32604382771111406
year,0.09811335233414033
need,0.03644608892940755
plea,4.489509827359808
onlin,0.08791053488093944
check music,0.07238086154588873
everyon,0.17844973934102948
month,0.1781415535348087
anyon,0.014007684522248313
shit,0.13491813772825295
billion view,0.08375588559955248
new mixtap,0.047414594364341076
appreci,0.029321202948635196
mani,0.0830779378822832
thank,0.7264945130629971
new,0.9449059038846839
best song,0.09188172037858153
girl,0.11757043329448982
hear,0.0434092794554079
great,0.15985189027651614
click,0.31689494166960785
like,0.9207288565573816
second,0.017880989695405275
best,0.529503418272876
help,1.1455637808196686
channel,4.121508294300423
way,0.09887340751391853
music,0.24410491966863498
kati,0.2085038085430492
lyric,0.020496307850761886
sub,0.36653173053896204
guy check,0.010544162880358579
day,0.05894947457419268
say,0.030873629782214286
got,0.1011585687604698
dont,0.18651891506339227
page,0.45423675699208177
veri,0.1134675269202942
funni,0.07669012415556564
comment,0.4802623994425853
hello,0.13480258502837048
check playlist youtub,0.7444025343264785
rap,0.07707677618868679
subscrib channel,0.67348561311068
work,0.011700249371073192
life,0.027233300020998087
start,0.04636754394141539
awesom,0.10428443916659773
god,0.0020334155681653136
shakira,0.16142548006285082
love song,0.12233080539485283
onli,0.14842328660515786
rapper,0.04742086798301712
friend,0.16455704396654788
pray,0.059930968596244395
style,0.021486625885288484
lot,0.07227265570075965
make,0.3393874939298807
post,0.013893089420740239
traffic_group_unknown_time,6.214972633084427
quot,0.18901188659858306
becaus,0.0696125763426474
parti,0.04960560560875023
check video,1.5985483179088995
check,10.134094079767193
come,0.10419662014044397
twitter,0.2183475832597594
lol,0.08199879498682947
song,1.8846893449784556
doe,0.02058525025519406
watch video,0.0918946660489815
amp,0.17794800415503165
realli appreci,0.04419472842525091
free,0.41491942202067356
kati perri,0.10451094215806084
year old,0.0031705369360428503
advertis,0.06743002780546062
money,1.6064801922024432
money onlin,0.014083221414434436
make money onlin,0.0
rihanna,0.04363612013950297
thing,0.01749878598185541
spam,0.02366603245866984
cover,0.3002907192375618
home,0.07238788031588164
com make,0.03640305814306603
hit,0.08228783195087822
video youtub,1.5617199569719207
beauti,0.1047904220322318
plz,0.18064363955204712
sorri,0.022039620745565834
psi,0.10686421709434199
omg,0.03089923277132121
ani,0.04929272999688712
nice,0.10882353259187617
subscrib like,0.04656638876458016
read,0.14443559091606326
work home,0.020932451458353332
cool,0.05512708416497498
fan,0.042642312348375684
wa,0.311745673005758
traffic_group_peak,0.48076547758049437
follow,0.4337823505432794
singer,0.008858403160836165
waka,0.047669990927694986
wow,0.1300691905612878
old,0.03471616878290835
time,0.10446527491265294
make month,0.06254642844850848
plea check,0.14460024622479753
know,0.15962456432107586
url_presence,10.826242339434872
len_review,5.913494578121796
